tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N12552,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12563,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12564,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12567,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12569,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12900,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12921,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12922,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12924,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12957,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12967,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N12996,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13110,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N13113,1995.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N13118,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13123,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13124,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13132,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13133,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13138,1999.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N13161,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13202,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N13248,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N13538,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13550,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13553,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13566,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13716,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N13718,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N13750,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N13903,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13908,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13913,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13914,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13949,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13955,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13956,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13958,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13964,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13965,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13968,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13969,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13970,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13975,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13978,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13979,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13988,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13989,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13992,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13994,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13995,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N13997,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14102,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14105,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14106,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14107,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14115,1995.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14116,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14117,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14118,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14120,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14121,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N14125,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14143,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14148,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14153,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14158,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14162,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14168,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14171,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14173,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14174,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14177,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14179,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14180,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14186,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14188,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14198,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14203,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14204,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N14214,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14219,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14228,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14230,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14231,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14237,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14242,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14250,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N14542,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14543,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14558,,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14562,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14568,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14570,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14573,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14629,1965.0,Fixed wing multi engine,BOEING,737-524,2.0,149.0,,Turbo-fan
N14704,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N14731,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N14902,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14904,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14905,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14907,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14916,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14920,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14923,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14950,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14952,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14953,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14959,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14960,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14972,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14974,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14977,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14991,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14993,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N14998,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N153DL,1990.0,Fixed wing multi engine,BOEING,767-3P6,2.0,290.0,,Turbo-fan
N15555,,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15572,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15574,,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15710,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N15712,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N15910,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15912,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15973,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15980,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15983,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15985,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N15986,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N1602,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1603,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1605,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N16065,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1608,2000.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1609,2000.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1610D,2000.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N16112,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N1611B,2000.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1612T,2001.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N16147,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16149,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16151,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16170,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16178,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16183,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N16217,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N16234,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N16541,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16546,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16559,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16561,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16571,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16701,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N16703,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N16709,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N16713,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N16732,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N168AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N16911,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16918,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16919,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16951,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16954,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16961,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16963,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16976,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16981,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16987,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N16999,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N169AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N17104,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17105,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17108,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17115,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17122,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17126,1998.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17128,1998.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17133,1998.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17138,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17139,2000.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N17146,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17159,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17169,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17185,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17196,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N17229,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N17233,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N17244,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N17245,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N173AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N174AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N17560,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N175AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N176AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N17719,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N17730,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N17984,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N18101,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N18102,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N18112,1995.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N18114,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N18119,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N18120,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N18220,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N18223,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N18243,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N184AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N18556,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N18557,,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N19117,1996.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N19130,1998.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N19136,1999.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N19141,2000.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N19554,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N19966,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N205FR,2010.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N20904,2012.0,Fixed wing multi engine,BOEING,787-8,2.0,260.0,,Turbo-fan
N21108,1994.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N21129,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N21130,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N21144,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N21154,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N21197,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N21537,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N21723,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N221FR,2007.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N22909,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N22971,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N23139,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N23707,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N23708,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N23721,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N240AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N24103,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N24128,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N24202,2000.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N24211,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N24212,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N24224,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N245AY,1987.0,Fixed wing multi engine,BOEING,767-201,2.0,255.0,,Turbo-jet
N24702,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N24706,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N24715,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N24729,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N25134,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N25705,1998.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N26123,1997.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,,Turbo-jet
N26141,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N261AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N26208,2000.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N26210,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N26215,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N26226,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N26545,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N26549,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,,Turbo-fan
N26906,2012.0,Fixed wing multi engine,BOEING,787-8,2.0,260.0,,Turbo-fan
N27152,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N27190,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N27200,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,,Turbo-fan
N27205,2000.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N27213,1998.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N27239,1999.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,,Turbo-fan
N272AT,,Fixed wing multi engine,BOEING,777-200,2.0,400.0,,Turbo-jet
N272PQ,2013.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N273AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N27421,2008.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,,Turbo-fan
N27477,2013.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,,Turbo-fan
N276AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N27722,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N27724,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N27733,1999.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,,Turbo-jet
N278AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N27901,2012.0,Fixed wing multi engine,BOEING,787-8,2.0,260.0,,Turbo-fan
N27962,1999.0,Fixed wing multi engine,EMBRAER,EMB-145,2.0,55.0,,Turbo-jet
N279AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N279PQ,2013.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N281AT,,Fixed wing multi engine,AIRBUS,A340-313,4.0,375.0,,Turbo-jet
N28457,2012.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,,Turbo-fan
N28478,2013.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,,Turbo-fan
N284AT,2006.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
N285AT,2006.0,Fixed wing multi engine,BOEING,737-76N,2.0,149.0,,Turbo-fan
